"index","pe","weight","avg"
1912,6,6,1
1913,7,7,1
1914,6,6,1
1915,6,6,1
1916,6,6,1
1917,6,6,1
1918,6,6,1
1919,6,6,1
192,4,4,1
1920,6,6,1
1921,6,6,1
1922,6,6,1
1923,6,6,1
1924,6,6,1
1925,6,6,1
1926,6,6,1
1927,6,6,1
1928,6,6,1
1929,6,6,1
193,4,4,1
1930,6,6,1
1931,6,6,1
1932,6,6,1
1933,6,6,1
1934,6,6,1
1935,6,6,1
1936,6,6,1
1937,11,11,1
1938,6,6,1
1939,6,6,1
194,4,4,1
1940,6,6,1
1941,6,6,1
1942,6,6,1
1943,8,8,1
1944,6,6,1
1945,6,6,1
1946,6,6,1
1947,6,6,1
1948,8,8,1
1949,6,6,1
195,4,4,1
1950,6,6,1
1951,6,6,1
1952,6,6,1
1953,6,6,1
1954,6,6,1
1955,6,6,1
1956,6,6,1
1957,6,6,1
1958,6,6,1
1959,6,6,1
196,4,4,1
1960,6,6,1
1961,6,6,1
1962,6,6,1
1963,6,6,1
1964,6,6,1
1965,6,6,1
1966,6,6,1
1967,6,6,1
1968,6,6,1
1969,6,6,1
197,4,4,1
1970,6,6,1
1971,6,6,1
1972,6,6,1
1973,6,6,1
1974,6,6,1
1975,6,6,1
1976,6,6,1
1977,7,7,1
1978,6,6,1
1979,6,6,1
198,4,4,1
1980,6,6,1
1981,6,6,1
1982,8,8,1
1983,6,6,1
1984,6,6,1
1985,6,6,1
1986,6,6,1
1987,6,6,1
1988,6,6,1
1989,6,6,1
199,4,4,1
1990,9,9,1
1991,6,6,1
1992,6,6,1
1993,6,6,1
1994,6,6,1
1995,6,6,1
1996,6,6,1
1997,6,6,1
1998,8,8,1
1999,6,6,1
2,6,6,1
20,5,5,1
200,4,4,1
2000,6,6,1
2001,6,6,1
2002,6,6,1
2003,6,6,1
2004,8,8,1
2005,6,6,1
2006,6,6,1
2007,6,6,1
2008,6,6,1
2009,6,6,1
201,4,4,1
2010,6,6,1
2011,7,7,1
2012,6,6,1
2013,6,6,1
2014,6,6,1
2015,8,8,1
2016,6,6,1
2017,17,17,1
2018,6,6,1
2019,7,7,1
202,4,4,1
2020,10,10,1
2021,6,6,1
2022,6,6,1
2023,6,6,1
2024,6,6,1
2025,6,6,1
2026,6,6,1
2027,6,6,1
2028,6,6,1
2029,6,6,1
203,4,4,1
2030,6,6,1
2031,6,6,1
2032,6,6,1
2033,6,6,1
2034,6,6,1
2035,6,6,1
2036,6,6,1
2037,6,6,1
2038,6,6,1
2039,6,6,1
204,4,4,1
2040,6,6,1
2041,8,8,1
2042,6,6,1
2043,6,6,1
2044,6,6,1
2045,6,6,1
2046,6,6,1
2047,6,6,1
2048,6,6,1
2049,6,6,1
205,4,4,1
2050,6,6,1
2051,6,6,1
2052,8,8,1
2053,6,6,1
2054,6,6,1
2055,6,6,1
2056,6,6,1
2057,6,6,1
2058,6,6,1
2059,6,6,1
206,4,4,1
2060,6,6,1
2061,6,6,1
2062,6,6,1
2063,6,6,1
2064,6,6,1
2065,6,6,1
2066,6,6,1
2067,6,6,1
2068,6,6,1
2069,13,13,1
207,4,4,1
2070,6,6,1
2071,6,6,1
2072,6,6,1
2073,6,6,1
2074,6,6,1
2075,6,6,1
2076,6,6,1
2077,6,6,1
2078,6,6,1
2079,6,6,1
208,4,4,1
2080,6,6,1
2081,6,6,1
2082,6,6,1
2083,9,9,1
2084,6,6,1
2085,6,6,1
2086,17,17,1
2087,7,7,1
2088,7,7,1
2089,7,7,1
209,4,4,1
2090,7,7,1
2091,7,7,1
2092,7,7,1
2093,7,7,1
2094,7,7,1
2095,7,7,1
2096,7,7,1
2097,7,7,1
2098,7,7,1
2099,7,7,1
21,5,5,1
210,4,4,1
2100,7,7,1
2101,7,7,1
2102,7,7,1
2103,7,7,1
2104,7,7,1
2105,7,7,1
2106,7,7,1
2107,7,7,1
2108,10,10,1
2109,7,7,1
211,4,4,1
2110,7,7,1
2111,7,7,1
2112,7,7,1
2113,7,7,1
2114,7,7,1
2115,7,7,1
2116,7,7,1
2117,7,7,1
2118,9,9,1
2119,9,9,1
212,4,4,1
2120,7,7,1
2121,8,8,1
2122,7,7,1
2123,7,7,1
2124,7,7,1
2125,7,7,1
2126,7,7,1
2127,7,7,1
2128,7,7,1
2129,7,7,1
213,4,4,1
2130,9,9,1
2131,7,7,1
2132,7,7,1
2133,7,7,1
2134,7,7,1
2135,7,7,1
